song,artist,track_id,album_id,album_name,artist_id,popularity,release_date,track_duration_ms
Sailor Song,Gigi Perez,2262bWmqomIaJXwCRHr13j,68CN2LzY8MoxO2udy2C22e,Sailor Song,1iCnM8foFssWlPRLfAbIwo,93.0,2024-07-26,211978.0
Lies Lies Lies,Morgan Wallen,7Fzl7QaTu47WyP9R5S5mh5,62ldGEkFUkQa34B8qsAFyc,Lies Lies Lies,4oUHIQIBe0LHzYfvXNW4QM,80.0,2024-07-05,198068.0
Wildflower,Billie Eilish,3QaPy1KgI7nu9FJEQUgn6h,7aJuG4TFXa2hmE4z1yxc3n,HIT ME HARD AND SOFT,6qqNVTkY8uBg9cP3Jd7DAH,92.0,2024-05-17,261466.0
Pink Pony Club,Chappell Roan,1k2pQc5i348DCHwbn5KTdc,0EiI8ylL0FmWWpgHVTsZjZ,The Rise and Fall of a Midwest Princess,7GlBOeep6PqTfFi59PTUUN,85.0,2023-09-22,258034.0
I Never Lie,Zach Top,3t6gUcGYLrUuqwpXjOFWQc,2liHjGjIgWvjrfBgKGBYuF,Cold Beer & Country Music,4FGPzWzgjURDNT7JQ8pYgH,79.0,2024-04-05,224906.0
Liar,Jelly Roll,0llPOBVoJYDAtdmVlNE41A,2GW4VpFk9mbc6qYZ0zNuu3,Beautifully Broken,19k8AgwwTSxeaxkOuCQEJs,74.0,2024-10-10,204933.0
I'm Gonna Love You,Cody Johnson & Carrie Underwood,6dayCflQl0ISXwZs6GBygC,68m4FCAFzv1iKEChNO0kJ9,I'm Gonna Love You,6zLBxLdl60ekBLpawtT63I,69.0,2024-09-27,188106.0
Scorsese Baby Daddy,SZA,2E7a96qey4AzSOdK6H21vS,3VQkNrG74QPY4rHBPoyZYZ,SOS Deluxe: LANA,7tYKF4w9nC0nq9CsPZTHyP,81.0,2024-12-20,153911.0
Tu Boda,Oscar Maydon & Fuerza Regida,1cOboCuWYI2osTOfolMRS6,60cQzWfmdg4hyDXrpW6kOA,Tu Boda,3l9G1G9MxH6DaRhwLklaf5,91.0,2024-09-26,225880.0
"I Love You, I'm Sorry",Gracie Abrams,51rfRCiUSvxXlCSCfIztBy,56bdWeO40o3WfAD2Lja4dl,The Secret of Us,4tuJ0bMpJh08umKkEXKUI5,89.0,2024-06-21,157146.0
It's Ok I'm Ok,Tate McRae,24XihnoVPWXlKJ4BgXqjVM,5qfivA7g2aAhAIPnSb0csp,It's ok I'm ok,45dkTj5sMRSjrmBSBeiHym,82.0,2024-09-12,156521.0
No One Noticed,The Marias,3siwsiaEoU4Kuuc9WKMUy5,03guxdOi12XJbnvxvxbpwG,Submarine,2sSGPbdZJkaSE2AbcGOACx,85.0,2024-05-31,236906.0
Good News,Shaboozey,54p6vNJwGkt4FTaM8SCsxt,7cBvtedB1E62VoOdnGx51w,Good News,3y2cIKLjiOlp1Np37WiUdH,79.0,2024-11-15,199209.0
Loco,Neton Vega,63EQbNhgaih4yg5412usWG,1vNUD9sUBRHFFQiwYZm232,Loco,6pV5zH2LzjOUHaAvENdMMa,80.0,2024-12-20,186521.0
Drive,SZA,2qYbtIf8dRkBkKIcZVGFDq,3VQkNrG74QPY4rHBPoyZYZ,SOS Deluxe: LANA,7tYKF4w9nC0nq9CsPZTHyP,79.0,2024-12-20,185132.0
Que Pasaria...,Rauw Alejandro & Bad Bunny,0l0vcZMU7AOeQmUIREoI2U,0aX0UXrHG2ceYIxTQcqJdA,Cosa Nuestra,1mcTU81TzQhprhouKaTkpq,89.0,2024-11-15,191018.0
Think I'm In Love With You,Chris Stapleton,3Gn1zuHNLtGuGEOXwq0k7e,6kcZ35GY84A3FBIcIKVqTW,Higher,4YLtscXsxbVgi031ovDDdh,76.0,2023-11-10,222800.0
Dancing In The Flames,The Weeknd,7z7kvUQGwlC6iOl7vMuAr9,5XsZ5ZTcIHnZxjynaGxA0g,Dancing In The Flames,1Xyo4u8uXC1ZmMpatF05PJ,81.0,2024-09-13,220036.0
Help Me,Real Boston Richey,487JCvAXVblflZyDJn3fSp,01JuX8fEX5ACudymzCB3O3,Help Me,1iwUuIOKYjV7SKIg27v4zi,69.0,2024-05-31,181165.0
Residuals,Chris Brown,4t4rGgiVX7woTmlnW9SHJ7,5onhEG8O3aKdg9b4lIdkNz,11:11 (Deluxe),7bXgB6jMjp9ATFy66eO08Z,70.0,2024-04-11,215178.0
Am I Okay?,Megan Moroney,36wAwEkSDpNQ4oQeRLYC3L,7l80BDHxpZwj8FXImqH8fw,Am I Okay?,5Ppie0uPnbnvGBYRwYmlt0,75.0,2024-07-12,235002.0
Diamond Boy (DTM),SZA,0SCIwbS0Q4etwJmDyNjHaQ,3VQkNrG74QPY4rHBPoyZYZ,SOS Deluxe: LANA,7tYKF4w9nC0nq9CsPZTHyP,80.0,2024-12-20,217523.0
I Ain't Sayin',Jordan Davis,7lCs3stpWCtAn5Y2lmnPhV,3U0pFKPURiE6x5gWFhDr8d,I Ain't Sayin',77kULmXAQ6vWer7IIHdGzI,73.0,2024-07-26,174060.0
What Do I Do,SZA,6jTQijAuYxOd8DjQ8D6UkL,3VQkNrG74QPY4rHBPoyZYZ,SOS Deluxe: LANA,7tYKF4w9nC0nq9CsPZTHyP,80.0,2024-12-20,167448.0
Heart Of A Woman,Summer Walker,2oVVaVY0LkzwAYYcyzon6Z,2PluIFWJrbEgClMLJoFWzh,Heart Of A Woman,57LYzLEk2LcFghVwuWbcuS,73.0,2024-10-25,171000.0
Another Life,SZA,4tfOoCcYPtb08J5HWlSo3r,3VQkNrG74QPY4rHBPoyZYZ,SOS Deluxe: LANA,7tYKF4w9nC0nq9CsPZTHyP,80.0,2024-12-20,205214.0
Bad Dreams,Teddy Swims,3nHuKdFJZm78CoeBnDcFKe,2VxQFEEnhwiV5LpMuHKViR,Bad Dreams,33qOK5uJ8AR2xuQQAhHump,86.0,2024-09-13,184577.0
No Pole,Don Toliver,0eaVIYo2zeOaGJeqZ5TwYz,2Q2TRdT994vTzGE3Grmmht,Love Sick (Deluxe),4Gso3d4CscCijv0lmajZWs,86.0,2023-02-28,187613.0
Empty Out Your Pockets,Juice WRLD,2QxekHjOYDnzNO5w8hu2D9,7kOpqRCEqTTzcGc4CwEFph,The Party Never Ends 2.0,4MCBfE4596Uoi2O4DtmEMz,84.0,2024-11-30,135653.0
Dos Dias,Tito Double P & Peso Pluma,5lKFO0PrOC9jmOlPEdjHsL,27GWSFRITD8JJcSGMgEfTN,INCÓMODO,5eumcnUkdmGvkvcsx1WFNG,88.0,2024-08-22,153928.0
Close To You,Gracie Abrams,5wbg8kepMFoMzHOEuxiI0q,4XXTsu7r9865VvXdvF2iQP,The Secret of Us,4tuJ0bMpJh08umKkEXKUI5,82.0,2024-06-20,225973.0
Popular,Ariana Grande,3i8fIJNV0yuC4kXT3SkVBZ,3JUrJP460nFIqwjxM19slT,Wicked: The Soundtrack,66CXWjxzNUsdJxJ2JdwvnR,84.0,2024-11-22,241501.0
